Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?b  mother  ?a   ,?a  successor  ?b,0.030136986,0.020952381,0.261904762,11,525,42,?a
?a  child  ?b   ,?a  successor  ?b,0.4,0.093171666,0.205633803,146,1567,710,?a
?b  parent  ?a   ,?a  successor  ?b,0.361643836,0.1232493,0.44,132,1071,300,?a
?b  father  ?a   ,?a  successor  ?b,0.295890411,0.180602007,0.465517241,108,598,232,?a
?b  predecessor  ?a   ,?a  successor  ?b,0.753424658,0.755494505,0.913621262,275,364,301,?a
?b  child  ?a   ,?a  predecessor  ?b,0.39010989,0.090619017,0.209748892,142,1567,677,?b
?a  mother  ?b   ,?a  predecessor  ?b,0.03021978,0.020952381,0.268292683,11,525,41,?b
?b  successor  ?a   ,?a  predecessor  ?b,0.755494505,0.753424658,0.945017182,275,365,291,?b
?a  parent  ?b   ,?a  predecessor  ?b,0.354395604,0.120448179,0.462365591,129,1071,279,?b
?a  father  ?b   ,?a  predecessor  ?b,0.296703297,0.180602007,0.482142857,108,598,224,?b
?a  parent  ?b   ,?a  mother  ?b,0.666666667,0.326797386,0.488145049,350,1071,717,?a
?b  child  ?a   ,?a  mother  ?b,0.327619048,0.10976388,0.443298969,172,1567,388,?a
?a  parent  ?b   ,?a  father  ?b,0.710702341,0.396825397,0.510204082,425,1071,833,?a
?b  child  ?a   ,?a  father  ?b,0.342809365,0.130823229,0.535248042,205,1567,383,?a
?a  predecessor  ?b   ,?a  father  ?b,0.180602007,0.296703297,0.519230769,108,364,208,?a
?b  successor  ?a   ,?a  father  ?b,0.180602007,0.295890411,0.507042254,108,365,213,?a
?b  name  ?a   ,?a  name  ?b,0.155172414,0.155172414,1,90,580,90,?a
?b  spouse  ?a   ,?a  spouse  ?b,0.722669735,0.722669735,0.904899135,628,869,694,?b
?a  predecessor  ?b   ,?a  parent  ?b,0.120448179,0.354395604,0.597222222,129,364,216,?b
?b  successor  ?a   ,?a  parent  ?b,0.1232493,0.361643836,0.584070796,132,365,226,?b
?a  mother  ?b   ,?a  parent  ?b,0.326797386,0.666666667,0.890585242,350,525,393,?b
?b  child  ?a   ,?a  parent  ?b,0.39589169,0.270580728,0.318796992,424,1567,1330,?b
?a  father  ?b   ,?a  parent  ?b,0.396825397,0.710702341,0.902335456,425,598,471,?b
?b  mother  ?a   ,?a  child  ?b,0.10976388,0.327619048,0.479108635,172,525,359,?b
?a  successor  ?b   ,?a  child  ?b,0.093171666,0.4,0.54887218,146,365,266,?b
?b  parent  ?a   ,?a  child  ?b,0.270580728,0.39589169,0.655332303,424,1071,647,?b
?b  father  ?a   ,?a  child  ?b,0.130823229,0.342809365,0.652866242,205,598,314,?b
?b  predecessor  ?a   ,?a  child  ?b,0.090619017,0.39010989,0.548262548,142,364,259,?b
?b  father  ?a  ?b  mother  ?a   ,?a  successor  ?b,0.021917808,0.421052632,0.571428571,8,19,14,?a
?a  child  ?b  ?b  mother  ?a   ,?a  successor  ?b,0.024657534,0.052325581,0.36,9,172,25,?a
?b  predecessor  ?a  ?a  spouse  ?b   ,?a  successor  ?b,0.016438356,1,1,6,6,6,?a
?b  predecessor  ?a  ?b  spouse  ?a   ,?a  successor  ?b,0.01369863,1,1,5,5,5,?a
