Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?b  predecessor  ?a   ,?a  successor  ?b,1,1,1,471,471,471,?a
?b  mother  ?a   ,?a  successor  ?b,0.040339703,0.035580524,0.431818182,19,534,44,?a
?b  father  ?a   ,?a  successor  ?b,0.360934183,0.258358663,0.508982036,170,658,334,?a
?b  parent  ?a   ,?a  successor  ?b,0.414012739,0.157384988,0.50257732,195,1239,388,?a
?a  child  ?b   ,?a  successor  ?b,0.435244161,0.108065366,0.196360153,205,1897,1044,?a
?b  name  ?a   ,?a  name  ?b,0.193958665,0.193958665,1,122,629,122,?a
?a  parent  ?b   ,?a  mother  ?b,1,0.430992736,0.49859944,534,1239,1071,?a
?b  child  ?a   ,?a  mother  ?b,0.464419476,0.130732736,0.46969697,248,1897,528,?a
?b  successor  ?a   ,?a  predecessor  ?b,1,1,1,471,471,471,?b
?b  child  ?a   ,?a  predecessor  ?b,0.435244161,0.108065366,0.196360153,205,1897,1044,?b
?a  parent  ?b   ,?a  predecessor  ?b,0.414012739,0.157384988,0.50257732,195,1239,388,?b
?a  father  ?b   ,?a  predecessor  ?b,0.360934183,0.258358663,0.508982036,170,658,334,?b
?a  mother  ?b   ,?a  predecessor  ?b,0.040339703,0.035580524,0.431818182,19,534,44,?b
?b  child  ?a   ,?a  father  ?b,0.458966565,0.159198735,0.546112116,302,1897,553,?a
?a  parent  ?b   ,?a  father  ?b,1,0.531073446,0.549707602,658,1239,1197,?a
?b  successor  ?a   ,?a  father  ?b,0.258358663,0.360934183,0.487106017,170,471,349,?a
?a  predecessor  ?b   ,?a  father  ?b,0.258358663,0.360934183,0.487106017,170,471,349,?a
?b  spouse  ?a   ,?a  spouse  ?b,0.998263889,0.998263889,0.99913119,1150,1152,1151,?a
?a  father  ?b   ,?a  parent  ?b,0.531073446,1,1,658,658,658,?b
?a  mother  ?b   ,?a  parent  ?b,0.430992736,1,1,534,534,534,?b
?b  successor  ?a   ,?a  parent  ?b,0.157384988,0.414012739,0.570175439,195,471,342,?b
?a  predecessor  ?b   ,?a  parent  ?b,0.157384988,0.414012739,0.570175439,195,471,342,?b
?b  child  ?a   ,?a  parent  ?b,0.447941889,0.292567211,0.306460519,555,1897,1811,?b
