Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  exports  ?b   ,?a  imports  ?b,0.135761589,0.133116883,0.14801444,41,308,277,?a
?a  imports  ?b   ,?a  exports  ?b,0.133116883,0.135761589,0.15530303,41,302,264,?a
?b  influences  ?a   ,?a  hasAcademicAdvisor  ?b,0.053133515,0.004638991,0.172566372,39,8407,226,?a
?a  isLeaderOf  ?b   ,?a  isPoliticianOf  ?b,0.046446558,0.10978836,0.439153439,83,756,189,?a
?a  livesIn  ?b   ,?a  isPoliticianOf  ?b,0.027420257,0.020895522,0.192913386,49,2345,254,?a
?a  isCitizenOf  ?b   ,?a  isPoliticianOf  ?b,0.063794068,0.042081949,0.721518987,114,2709,158,?a
?b  hasNeighbor  ?a   ,?a  hasNeighbor  ?b,0.782997763,0.782997763,0.788288288,350,447,444,?b
?b  dealsWith  ?a   ,?a  hasNeighbor  ?b,0.263982103,0.108856089,0.156291391,118,1084,755,?b
?a  dealsWith  ?b   ,?a  hasNeighbor  ?b,0.252796421,0.104243542,0.142857143,113,1084,791,?b
?a  graduatedFrom  ?b   ,?a  worksAt  ?b,0.157068063,0.066793893,0.253012048,420,6288,1660,?a
?b  isMarriedTo  ?a   ,?a  isMarriedTo  ?b,0.783416252,0.783416252,0.938046068,2362,3015,2518,?a
?b  participatedIn  ?a   ,?a  happenedIn  ?b,0.22057753,0.226966292,0.293794441,909,4005,3094,?b
?a  created  ?b   ,?a  wroteMusicFor  ?b,0.079564489,0.063683593,0.122580645,380,5967,3100,?b
?a  worksAt  ?b   ,?a  graduatedFrom  ?b,0.066793893,0.157068063,0.181112549,420,2674,2319,?a
?b  happenedIn  ?a   ,?a  participatedIn  ?b,0.226966292,0.22057753,0.237336815,909,4121,3830,?b
?a  wroteMusicFor  ?b   ,?a  created  ?b,0.063683593,0.079564489,0.149842271,380,4776,2536,?b
?a  directed  ?b   ,?a  created  ?b,0.131724485,0.178636364,0.2985188,786,4400,2633,?b
?a  created  ?b   ,?a  directed  ?b,0.178636364,0.131724485,0.22776007,786,5967,3451,?b
?a  isLeaderOf  ?b   ,?a  livesIn  ?b,0.01663113,0.051587302,0.177272727,39,756,220,?a
?a  diedIn  ?b   ,?a  livesIn  ?b,0.034115139,0.009038527,0.225352113,80,8851,355,?a
?a  isCitizenOf  ?b   ,?a  livesIn  ?b,0.10533049,0.091177556,0.413043478,247,2709,598,?a
?a  isPoliticianOf  ?b   ,?a  livesIn  ?b,0.020895522,0.027420257,0.233333333,49,1787,210,?a
?b  hasNeighbor  ?a   ,?a  dealsWith  ?b,0.108856089,0.263982103,0.304123711,118,447,388,?a
?a  hasNeighbor  ?b   ,?a  dealsWith  ?b,0.104243542,0.252796421,0.292746114,113,447,386,?a
?b  dealsWith  ?a   ,?a  dealsWith  ?b,0.097785978,0.097785978,0.117386489,106,1084,903,?a
?a  isPoliticianOf  ?b   ,?a  isCitizenOf  ?b,0.042081949,0.063794068,0.708074534,114,1787,161,?a
?a  livesIn  ?b   ,?a  isCitizenOf  ?b,0.091177556,0.10533049,0.343532684,247,2345,719,?a
?a  isLocatedIn  ?b   ,?a  hasCapital  ?b,0.317162658,0.010040653,0.232934132,778,77485,3340,?a
?a  wasBornIn  ?b   ,?a  diedIn  ?b,0.100327647,0.025107442,0.182378312,888,35368,4869,?a
?b  isConnectedTo  ?a   ,?a  isConnectedTo  ?b,0.518731534,0.518731534,0.526783214,13168,25385,24997,?b
?a  diedIn  ?b   ,?a  wasBornIn  ?b,0.025107442,0.100327647,0.182378312,888,8851,4869,?a
?a  hasCapital  ?b   ,?a  isLocatedIn  ?b,0.010040653,0.317162658,0.376937984,778,2453,2064,?a
?b  hasCapital  ?a   ,?a  isLocatedIn  ?b,0.018274505,0.577252344,0.579378069,1416,2453,2444,?a
?a  isAffiliatedTo  ?b   ,?a  playsFor  ?b,0.70753539,0.588777779,0.650384899,177931,302204,273578,?a
?a  playsFor  ?b   ,?a  isAffiliatedTo  ?b,0.588777779,0.70753539,0.771506495,177931,251480,230628,?a
?a  hasNeighbor  ?f  ?f  imports  ?b   ,?a  imports  ?b,0.261589404,0.143636364,0.190821256,79,550,414,?a
?e  exports  ?b  ?e  hasNeighbor  ?a   ,?a  exports  ?b,0.318181818,0.162251656,0.21875,98,604,448,?a
?e  hasNeighbor  ?a  ?e  imports  ?b   ,?a  imports  ?b,0.258278146,0.144444444,0.189320388,78,540,412,?a
?a  dealsWith  ?f  ?f  exports  ?b   ,?a  exports  ?b,0.399350649,0.089195069,0.11815562,123,1379,1041,?a
?f  isInterestedIn  ?b  ?a  isInterestedIn  ?f   ,?a  isInterestedIn  ?b,0.010582011,1,1,2,2,2,?a
?e  hasNeighbor  ?a  ?e  imports  ?b   ,?a  exports  ?b,0.136363636,0.077777778,0.101941748,42,540,412,?a
?e  isInterestedIn  ?a  ?e  isInterestedIn  ?b   ,?a  isInterestedIn  ?b,0.010582011,0.023809524,0.666666667,2,84,3,?a
?e  influences  ?a  ?e  isKnownFor  ?b   ,?a  isInterestedIn  ?b,0.026455026,0.017857143,0.104166667,5,280,48,?a
