Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?b  husband  ?a   ,?a  wife  ?b,0.828349945,0.794899044,0.958974359,748,941,780,?a
?b  wife  ?a   ,?a  husband  ?b,0.794899044,0.828349945,0.982917214,748,903,761,?b
?b  father  ?a   ,?a  son  ?b,0.44969697,0.441666667,0.847031963,742,1680,876,?a
?b  mother  ?a   ,?a  son  ?b,0.383636364,0.444834856,0.82421875,633,1423,768,?a
?b  son  ?a   ,?a  mother  ?b,0.444834856,0.383636364,0.503579952,633,1650,1257,?b
?b  daughter  ?a   ,?a  mother  ?b,0.345045678,0.364513734,0.490509491,491,1347,1001,?b
?b  father  ?a   ,?a  daughter  ?b,0.472160356,0.378571429,0.544054748,636,1680,1169,?b
?b  mother  ?a   ,?a  daughter  ?b,0.364513734,0.345045678,0.477626459,491,1423,1028,?b
?b  daughter  ?a   ,?a  father  ?b,0.378571429,0.472160356,0.572972973,636,1347,1110,?b
?b  son  ?a   ,?a  father  ?b,0.441666667,0.44969697,0.542397661,742,1650,1368,?b
?b  uncle  ?a   ,?a  niece  ?b,0.419398907,0.337486259,0.370772947,921,2729,2484,?b
?b  aunt  ?a   ,?a  niece  ?b,0.362021858,0.339598462,0.377313716,795,2341,2107,?b
?b  sister  ?a   ,?a  sister  ?b,0.353114272,0.353114272,0.41642568,720,2039,1729,?b
?b  brother  ?a   ,?a  sister  ?b,0.437469348,0.343341032,0.412962963,892,2598,2160,?b
?b  sister  ?a   ,?a  brother  ?b,0.343341032,0.437469348,0.473460722,892,2039,1884,?b
?b  brother  ?a   ,?a  brother  ?b,0.4765204,0.4765204,0.519731318,1238,2598,2382,?b
?b  nephew  ?a   ,?a  aunt  ?b,0.431866724,0.356111307,0.4044,1011,2839,2500,?b
?b  niece  ?a   ,?a  aunt  ?b,0.339598462,0.362021858,0.3975,795,2196,2000,?b
?b  niece  ?a   ,?a  uncle  ?b,0.337486259,0.419398907,0.448830409,921,2196,2052,?b
?b  nephew  ?a   ,?a  uncle  ?b,0.439355075,0.422331807,0.45313681,1199,2839,2646,?b
?b  aunt  ?a   ,?a  nephew  ?b,0.356111307,0.431866724,0.44873502,1011,2341,2253,?b
?b  uncle  ?a   ,?a  nephew  ?b,0.422331807,0.439355075,0.453994699,1199,2729,2641,?b
?f  daughter  ?b  ?a  mother  ?f   ,?a  wife  ?b,0.301218162,0.395924309,0.506517691,272,687,537,?a
?f  daughter  ?a  ?b  father  ?f   ,?a  wife  ?b,0.284606866,0.32408575,0.98467433,257,793,261,?a
?f  daughter  ?a  ?b  mother  ?f   ,?a  husband  ?b,0.291179596,0.398835517,0.501831502,274,687,546,?b
?b  mother  ?f  ?f  son  ?a   ,?a  husband  ?b,0.354941552,0.396674584,0.508371385,334,842,657,?b
?a  father  ?f  ?b  mother  ?f   ,?a  husband  ?b,0.518597237,0.788368336,0.981891348,488,619,497,?b
?e  son  ?a  ?e  son  ?b   ,?a  wife  ?b,0.324473976,0.164514318,0.452859351,293,1781,647,?a
?b  father  ?f  ?f  son  ?a   ,?a  wife  ?b,0.337763012,0.32972973,0.965189873,305,925,316,?a
?f  daughter  ?b  ?a  father  ?f   ,?a  husband  ?b,0.279489904,0.331651955,0.981343284,263,793,268,?b
?a  father  ?f  ?f  son  ?b   ,?a  husband  ?b,0.334750266,0.340540541,0.987460815,315,925,319,?b
?a  mother  ?f  ?f  son  ?b   ,?a  wife  ?b,0.361018826,0.387173397,0.498470948,326,842,654,?a
?e  daughter  ?a  ?e  daughter  ?b   ,?a  husband  ?b,0.291179596,0.174522293,0.474048443,274,1570,578,?b
?e  son  ?a  ?e  son  ?b   ,?a  husband  ?b,0.317747078,0.167883212,0.46,299,1781,650,?b
?b  father  ?f  ?f  sister  ?a   ,?a  son  ?b,0.215757576,0.404545455,0.785871965,356,880,453,?a
?f  brother  ?a  ?b  father  ?f   ,?a  son  ?b,0.280606061,0.427911275,0.810858144,463,1082,571,?a
?b  brother  ?f  ?f  uncle  ?a   ,?a  son  ?b,0.218787879,0.106804734,0.196944899,361,3380,1833,?a
