Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?b  <predecessor>  ?a   ,?a  <successor>  ?b,1,1,1,471,471,471,?a
?b  <successor>  ?a   ,?a  <predecessor>  ?b,1,1,1,471,471,471,?b
?a  <hasSpouse>  <Yes>   ,?a  <type>  <Person>,0.447344734,1,1,994,994,994,?a
"?a  <gender>  ""male""@en   ",?a  <type>  <Person>,0.260126013,1,1,578,578,578,?a
"?a  <gender>  ""female""@en   ",?a  <type>  <Person>,0.211971197,1,1,471,471,471,?a
?a  <hasSpouse>  <No>   ,?a  <type>  <Person>,0.548154815,1,1,1218,1218,1218,?a
?a  <father>  ?b   ,?a  <parent>  ?b,0.531073446,1,1,658,658,658,?b
?a  <mother>  ?b   ,?a  <parent>  ?b,0.430992736,1,1,534,534,534,?b
?d  <father>  ?a  ?a  <successor>  ?d   ,"?a  <gender>  ""male""@en",0.159199237,1,1,167,167,167,?a
?a  <child>  ?d  ?d  <father>  ?a   ,"?a  <gender>  ""male""@en",0.205910391,1,1,216,216,216,?a
?c  <father>  ?a  ?c  <parent>  ?a   ,"?a  <gender>  ""male""@en",0.515729266,1,1,541,541,541,?a
?c  <father>  ?a  ?c  <predecessor>  ?a   ,"?a  <gender>  ""male""@en",0.159199237,1,1,167,167,167,?a
"?c  <father>  ?a  ?c  <gender>  ""female""@en   ","?a  <gender>  ""male""@en",0.22306959,1,1,234,234,234,?a
?c  <father>  ?a  ?c  <type>  <Person>   ,"?a  <gender>  ""male""@en",0.515729266,1,1,541,541,541,?a
?c  <father>  ?a  ?c  <hasSpouse>  <No>   ,"?a  <gender>  ""male""@en",0.067683508,1,1,71,71,71,?a
?c  <father>  ?a  ?c  <hasSpouse>  <Yes>   ,"?a  <gender>  ""male""@en",0.460438513,1,1,483,483,483,?a
?d  <mother>  ?a  ?a  <successor>  ?d   ,"?a  <gender>  ""female""@en",0.018112488,1,1,19,19,19,?a
?a  <child>  ?d  ?d  <mother>  ?a   ,"?a  <gender>  ""female""@en",0.168732126,1,1,177,177,177,?a
?c  <mother>  ?a  ?c  <predecessor>  ?a   ,"?a  <gender>  ""female""@en",0.018112488,1,1,19,19,19,?a
?c  <mother>  ?a  ?c  <type>  <Person>   ,"?a  <gender>  ""female""@en",0.414680648,1,1,435,435,435,?a
